bioguide,thomas,govtrack,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
P000597,'01927',412307,ChelliePingree,ChelliePingree,UCLKaWFM7I84WcreDRhhhkVg,14984637,congresswomanpingree,,
P000595,'01929',412305,SenGaryPeters,SenGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,236511574,RepGaryPeters,sengarypeters,1640246681
P000593,'01835',412192,RepPerlmutter,RepPerlmutter,UCJXuMAzxngpEvDdvlE6wS5g,20552026,RepPerlmutter,,
P000523,'00930',400326,RepDavidEPrice,RepDavidEPrice,UCtX7bSXBLF9ge-Q955n5Vqw,155669457,RepDavidPrice,repdavideprice,
P000449,'00924',400325,SenRobPortman,senrobportman,UCwunkd8Zs-yAWKQwnwBp7ew,18915145,SenRobPortman,senrobportman,370356159
P000197,'00905',400314,SpeakerPelosi,NancyPelosi,UCxPeEcH0xaCK9nBK98EFhDg,15764644,nancypelosi,,
P000096,'01510',400309,BillPascrell,pascrell,UCIy1Ru8oA14aRjpq6L3i-EQ,74508260,RepPascrell,,
P000034,'00887',400308,FrankPallone,repfrankpallone,UCN0_wn9hs1LI3UKkji2PP2A,31801993,repfrankpallone,repfrankpallone,
O000168,'01955',412302,RepPeteOlson,Rep.PeteOlson,,20053279,,reppeteolson,
N000181,'01710',400297,RepDevinNunes,,UCtbArL6CmOfFqgmpuRjLp3w,344972339,RepDevinNunes,,
N000179,'01602',400290,GraceNapolitano,RepGraceNapolitano,UCPWjmiAIR04oQ8QMoOWcDtA,161411080,RepGraceNapolitano,repgracenapolitano,
N000147,'00868',400295,EleanorNorton,CongresswomanNorton,UChRrAXUGylfxJjbquC6aUjQ,23600262,EleanorHNorton,,
N000015,'00854',400291,RepRichardNeal,reprichardneal,UCZVtTydu0-MSK6G12GaKA4g,442824717,RepRichardENeal,,
N000002,'00850',400289,RepJerryNadler,CongressmanNadler,UCQKj0qU1e7o2f5ftSh-c9aQ,40302336,congressmannadler,,
M001183,'01983',412391,Sen_JoeManchin,JoeManchinIII,UCGyPK_ye2ptpzQgOjKIn7ag,234374703,SenatorJoeManchin,,
M001180,'02074',412487,RepMcKinley,RepMcKinley,UCt7BWx4b8ubXa-PneAu103g,240427862,RepDavidMcKinley,,
M001177,'01908',412295,RepMcClintock,'81125319109',UCMh04KC4LfIzKoXh2Xws_pw,50152441,McClintockCA04,,
M001176,'01900',412325,SenJeffMerkley,jeffmerkley,UCRoXttCJhMnLVCxCaa6VnNQ,29201047,SenatorJeffMerkley,senjeffmerkley,501463589
M001166,'01832',412189,RepMcNerney,jerrymcnerney,UClUOx6F8GKshxGBUBLkisug,385429543,RepJerryMcNerney,,
M001165,'01833',412190,GOPLeader,CongressmanKevinMcCarthy,UCdJUZUFSLJRlUpE-91-6DsA,19739126,repkevinmccarthy,RepKevinMcCarthy,
M001163,'01814',400663,DorisMatsui,doris.matsui,UCSqqxVkvskHq3cY2MCbTZsw,38254095,RepDorisMatsui,repdorismatsui,
M001160,'01811',400661,RepGwenMoore,GwenSMoore,UCCs9o1XaSsCsqNpO0iO0_Ew,22669526,RepGwenMoore,RepGwenMoore,
M001159,'01809',400659,CathyMcMorris,mcmorrisrodgers,UCRp0lwIxAhq2Ia9_YgRWUkg,17976923,mcmorrisrodgers,cathymcmorris,
M001158,'01806',400656,RepKenMarchant,RepKennyMarchant,UCQpnTMp5TdTRWEes8cjIfyQ,23976316,RepKennyMarchant,,
M001157,'01804',400654,RepMcCaul,michaeltmccaul,UCRw6sGE0PH7_FCeTT3PQRaA,26424123,MichaelTMcCaul,congressman_mccaul,
M001156,'01792',400644,PatrickMcHenry,CongressmanMcHenry,UCY3PTRhkSH-eoltxPVZKD-w,27676828,CongressmanMcHenry,reppatrickmchenry,353406473
M001153,'01694',300075,LisaMurkowski,SenLisaMurkowski,UCaigku16AErqvD0wRuwGb9A,18061669,senatormurkowski,senlisamurkowski,
M001143,'01653',400259,BettyMcCollum04,repbettymccollum,UC3sZJSdiZo2EBHbsOlsnI7A,516880804,BMcCollum04,repbettymccollum,
M001137,'01506',400271,RepGregoryMeeks,gregorymeeksny05,UCljJnwgQS6Z6-NypDyqKJZQ,22812754,gwmeeks,repgregorymeeks,
M001111,'01409',300076,PattyMurray,,UCb8jq3TvQ3AzKsexhWfFLoA,293131808,SenatorPattyMurray,senpattymurray,426137845
M000934,'01507',400284,JerryMoran,jerrymoran,UC1oRxeUPam6-53wPBZ3N02A,18632666,senatorjerrymoran,senjerrymoran,298271065
M000639,'00791',400272,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000355,'01395',300072,McConnellPress,mitchmcconnell,,339822881,,mcconnellpress,
M000312,'01504',400263,RepMcGovern,RepJimMcGovern,UCpiUqp2ZF64tXqgR_EQo27g,242426145,repjimmcgovern,repmcgovern,
M000133,'00735',400253,SenMarkey,EdJMarkey,UCT1ujew5yQy2uMhGrjiKHoA,21406834,RepMarkey,,
M000087,'00729',400251,RepMaloney,RepCarolynMaloney,,258900199,carolynbmaloney,repmaloney,
L000577,'02080',412495,SenMikeLee,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A,88784440,senatormikelee,senmikelee,391361701
L000576,'02033',412445,USRepLong,Rep.Billy.Long,UCLQcbyxpHXXAsUJckscQY8g,1444015610,MOdistrict7,,
L000575,'02050',412464,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q,225921757,SenatorLankford,senatorlankford,1552251018
L000570,'01939',412293,RepBenRayLujan,RepBenRayLujan,UCcO5AmF8HuJo4d0awEbst7Q,19318314,Repbenraylujan,repbenraylujan,1409819789
L000569,'01931',412292,RepBlaine,BlaineLuetkemeyer,UCifiiQclKbBBrkSbCnN6REg,1849261916,BLuetkemeyer,,
L000566,'01885',412256,BobLatta,boblatta,UCVSBVHoWu-eWnBBQaMKZ_sQ,15394954,CongressmanBobLatta,boblatta,26367713
L000565,'01846',412209,DaveLoebsack,DaveLoebsack,UC0biZWEJAKHctxbmXfXJnOg,510516465,congressmanloebsack,,
L000564,'01834',412191,RepDLamborn,CongressmanDougLamborn,UCaYsGYMniq4nwBBMKFIwsow,584012853,CongressmanLamborn,douglamborn,
L000563,'01781',400630,RepLipinski,repdanlipinski,UC4-dyxzIODTMk1-12QPEpoQ,1009269193,lipinski03,,
L000562,'01686',400249,RepStephenLynch,repstephenlynch,UCxL4zG0YWqC5XTO4af_FOgw,310310133,RepLynch,repstephenlynch,
L000560,'01675',400232,RepRickLarsen,RepRickLarsen,UCMv7LsJtiyO4AJcbRux5CxQ,404132211,congressmanlarsen,repricklarsen,
L000559,'01668',400230,JimLangevin,CongressmanJimLangevin,UCQ1sth-7umw1k-fSVqdfRTg,18909919,jimlangevin,,
L000557,'01583',400233,RepJohnLarson,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ,50452197,RepJohnLarson,RepJohnBLarson,
L000551,'01501',400237,RepBarbaraLee,RepBarbaraLee,UCnRgK2MXAQOUau0JXqseeNA,248735463,RepLee,repbarbaralee,1415801245
L000491,'00711',400247,RepFrankLucas,RepFrankLucas,UCdYZbKY8pkWAThqwC3fdVMg,242772524,RepFrankLucas,,
L000480,'00709',400246,NitaLowey,RepLowey,UCkmeBYqhbomcWNNWzQCqcbg,221792092,nitalowey,nitalowey,
L000397,'00701',400245,RepZoeLofgren,zoelofgren,UCOaQ79adORFcaTuJZoIFuZQ,267938462,RepZoeLofgren,,
L000174,'01383',300065,SenatorLeahy,SenatorPatrickLeahy,UC46QHVobf7FO-tWehsRoDog,242836537,SenatorPatrickLeahy,senatorleahy,
K000378,'02014',412421,RepKinzinger,RepKinzinger,UCjDHxyjndxxhjuPWyEBc7UA,219429281,RepAdamKinzinger,,
K000376,'02051',412465,MikeKellyPA,'191056827594903',UCoz6u3ooQxoijsWvhoQ0D-A,935368364,repmikekelly,,
K000375,'02025',412435,USRepKeating,Congressman.Keating,UC7KPV4xdxO2dms9vl6tETmg,232992031,RepBillKeating,,
K000362,'01724',400220,SteveKingIA,stevekingia,UCvdJ--cxsVyght3ZDise0mw,48117116,stevekingia,,
K000210,'00635',400219,RepPeteKing,,UCbyQC19DsAq01oDBfZn_diw,18277655,RepPeterKing,,
K000188,'01498',400218,RepRonKind,repronkind,UC0_BilariURHwSHf9baGykg,112740986,RepRonKind,,
K000009,'00616',400211,RepMarcyKaptur,RepresentativeMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w,581141508,USRepMarcyKaptur,repmarcykaptur,
J000293,'02086',412496,SenRonJohnson,senronjohnson,UCG9XyTVtOAs7VX_q_QVHoaw,233737858,SenatorRonJohnson,senronjohnson,
J000292,'02046',412460,RepBillJohnson,RepBillJohnson,UCtF08Ay71haDRoJosRN2P_Q,211530910,RepBillJohnson,repbilljohnson,763495818
J000289,'01868',412226,Jim_Jordan,repjimjordan,UCPFBhS00ivPV585GlnNlyqA,18166778,RepJimJordan,,
J000288,'01843',412199,RepHankJohnson,'115356957005',UCqMici9I7nz_i-PN7eSYjwQ,24745957,RepHankJohnson,rephankjohnson,
J000300,,412741,sendougjones,senatordougjones,UCL8akobkoN2lB5U3kaEjdBw,941080085121175552,,,
J000126,'00599',400204,RepEBJ,CongresswomanEBJtx30,UCVKp8BtjW708H4eXJJQgUYw,168502762,RepEddieBJohnson,repebj,
J000032,'00588',400199,JacksonLeeTX18,CongresswomanSheilaJacksonLee,UCi_S-mOZaEco2Zb9guf_8Iw,80612021,TX18SJL,,
I000024,'00583',300055,InhofePress,jiminhofe,UCk3W3ilX8vGG-300qzNpG7w,20546536,jiminhofepressoffice,,
